Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A698904,STRAY,CAT,CALICO DIL,WHITE,Female,2023-04-27,2023-05-17,INJURED  MILD,STRAY,OTC,,2023-05-17,2000 BLK MAINE AVE LB 90806,LONG BEACH,EUTHANASIA,INJ SEVERE,33.7936552,-118.2004162,Alive on Intake,TRUE,0,"33.7936552, -118.2004162"
A622790,,DOG,BROWN,BLACK,Male,2019-01-15,2019-03-06,UNDER AGE/WEIGHT,STRAY,OTC,,2019-03-06,"2000 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7936513,-118.1815696,Alive on Intake,FALSE,1,"33.7936513, -118.1815696"
A624356,,WILD,GRAY,PINK,Unknown,,2019-04-07,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2019-04-07,"2000 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.7936513,-118.1815696,Alive on Intake,TRUE,0,"33.7936513, -118.1815696"
A702901,KITTEN 4,CAT,BLACK,WHITE,Unknown,,2023-07-14,UNDER AGE/WEIGHT,STRAY,OTC,,2023-07-14,"2000 BLK MYRTLE AVE. LONG BEACH, CA 90806",LONG BEACH,RESCUE,LITTLEPAWS,33.7936513,-118.1815696,Alive on Intake,FALSE,1,"33.7936513, -118.1815696"
A702900,KITTEN 3,CAT,BLACK,,Unknown,,2023-07-14,UNDER AGE/WEIGHT,STRAY,OTC,,2023-11-17,"2000 BLK MYRTLE AVE. LONG BEACH, CA 90806",LONG BEACH,MISSING,IN KENNEL,33.7936513,-118.1815696,Alive on Intake,FALSE,1,"33.7936513, -118.1815696"
A677443,,BIRD,BLACK,,Unknown,,2022-06-12,INJURED  MODERATE,WILDLIFE,FIELD,,2022-06-12,"2000 BLK N BELLFLOWER BLVD, LONG BEACH, CA 90815",LONG BEACH,EUTHANASIA,INJ SEVERE,33.7918486,-118.1248359,Alive on Intake,TRUE,0,"33.7918486, -118.1248359"
A666065,CAPTAIN NEMO,DOG,BLACK,,Neutered,2019-09-30,2021-06-04,NORMAL,QUARANTINE,,,2021-06-13,"2000 BLK N BEVERLY PLZ, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,33.7924225,-118.1357205,Alive on Intake,FALSE,1,"33.7924225, -118.1357205"
A683827,*NORI,CAT,BLACK,,Spayed,2022-08-13,2022-09-13,ILL MILD,STRAY,OTC,,2022-10-13,"2000 BLK N STUDEBAKER RD, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,,33.7921726,-118.0990448,Alive on Intake,FALSE,1,"33.7921726, -118.0990448"
A683824,*BENNY,CAT,GRAY,,Neutered,2022-08-13,2022-09-13,ILL MILD,STRAY,OTC,,2022-10-07,"2000 BLK N STUDEBAKER RD, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,WEB,33.7921726,-118.0990448,Alive on Intake,FALSE,1,"33.7921726, -118.0990448"
A598925,,WILD,BLACK,WHITE,Unknown,,2017-10-18,UNDER AGE/WEIGHT,WILDLIFE,OTC,,2017-10-18,"2000 BLK N TERRACE DR, SIGNAL HILL, CA 90755",SIGNAL HILL,RETURN TO WILD HABITAT,,33.7941657,-118.1618557,Alive on Intake,FALSE,1,"33.7941657, -118.1618557"
A635425,RILEY,DOG,BLACK,,Spayed,2017-10-27,2019-10-27,NORMAL,OWNER SURRENDER,OTC,ESCAPES,2019-11-08,"2000 BLK OF LEWIS AVE, LONG BEACH CA 90806",LONG BEACH,ADOPTION,WALKIN,33.7936481,-118.1793942,Alive on Intake,FALSE,1,"33.7936481, -118.1793942"
A702701,,CAT,BRN TABBY,,Unknown,2023-07-06,2023-07-12,UNDER AGE/WEIGHT,STRAY,FIELD,,2023-07-12,2000 BLK OLIVE AVE,LONG BEACH,EUTHANASIA,ILL SEVERE,33.7935031,-118.1828539,Alive on Intake,TRUE,0,"33.7935031, -118.1828539"
A713923,*HORCHATA,CAT,GRAY,WHITE,Neutered,2023-11-07,2024-01-25,NORMAL,STRAY,OTC,,2024-01-31,2000 BLK OLIVE AVE LONG BEACH CA 90806,LONG BEACH,ADOPTION,WEB,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A703675,,CAT,BLACK,WHITE,Unknown,,2023-07-27,INJURED  SEVERE,STRAY,OTC,,2023-07-27,2000 BLK OLIVE AVE LONG BEACH CA 90806,LONG BEACH,EUTHANASIA,INJ SEVERE,33.7935031,-118.1828539,Alive on Intake,TRUE,0,"33.7935031, -118.1828539"
A717269,,CAT,BRN TABBY,WHITE,Male,2016-03-18,2024-03-18,ILL SEVERE,STRAY,FIELD,,2024-03-18,"2000 BLK OLIVE AVE, LB 90806",LONG BEACH,EUTHANASIA,AT VET,33.7935031,-118.1828539,Alive on Intake,TRUE,0,"33.7935031, -118.1828539"
A695600,,CAT,TORTIE,,Female,2022-03-27,2023-03-27,INJURED  SEVERE,STRAY,FIELD,,2023-03-27,"2000 BLK OLIVE AVE, LB 90806",LONG BEACH,EUTHANASIA,AT VET,33.7935031,-118.1828539,Alive on Intake,TRUE,0,"33.7935031, -118.1828539"
A616267,*JASMINE,DOG,TAN,WHITE,Female,2013-10-14,2018-10-14,INJURED  SEVERE,STRAY,FIELD,,2018-11-03,"2000 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,FIXLB,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A672599,*PUDDLES,CAT,GRAY,WHITE,Spayed,2020-04-02,2022-04-02,NORMAL,STRAY,OTC,,2022-04-06,"2000 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A657739,*JERSEY,CAT,LYNX PT,,Male,2021-04-22,2021-05-22,UNDER AGE/WEIGHT,STRAY,OTC,,2021-05-26,"2000 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,CATPAWS,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A645399,,CAT,BRN TABBY,,Male,2019-07-11,2020-07-11,INJURED  SEVERE,STRAY,FIELD,,2020-07-11,"2000 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,33.7935031,-118.1828539,Alive on Intake,TRUE,0,"33.7935031, -118.1828539"
A643220,DUNCAN,CAT,GRAY,WHITE,Neutered,2020-03-28,2020-05-29,NORMAL,STRAY,OTC,,2020-06-04,"2000 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,FOSTER TO ADOPT,,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A525155,REX,DOG,WHITE,TAN,Male,2010-06-04,2017-11-09,NORMAL,STRAY,OTC,,2017-11-25,"2000 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A662185,*TIOGA,CAT,ORANGE,WHITE,Neutered,2021-06-06,2021-08-21,NORMAL,STRAY,OTC,,2021-09-23,"2000 BLK OLIVE AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,WEB,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A662186,*OLIVER,CAT,BLACK,,Neutered,2021-06-06,2021-08-21,NORMAL,STRAY,OTC,,2021-09-22,"2000 BLK OLIVE AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,WEB,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A662184,*FIGARO,CAT,FLAME PT,,Neutered,2021-06-06,2021-08-21,NORMAL,STRAY,OTC,,2021-09-30,"2000 BLK OLIVE AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,WEB,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A640279,PEARLY,DOG,SILVER,BLACK,Female,2018-02-21,2020-02-21,NORMAL,OWNER SURRENDER,OTC,LANDLORD,2020-02-21,"2000 BLK ORANGE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7941359,-118.175966,Alive on Intake,FALSE,1,"33.7941359, -118.175966"
A610879,,OTHER,GRAY,,Unknown,2018-06-11,2018-07-11,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2018-07-11,"2000 BLK ORANGE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,OTHER RESC,33.7941359,-118.175966,Alive on Intake,FALSE,1,"33.7941359, -118.175966"
A584896,*BINDI,DOG,FAWN,WHITE,Spayed,2013-01-21,2017-01-21,NORMAL,STRAY,FIELD,,2017-02-26,"2000 BLK ORANGE AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SOCIAL MED,33.7941359,-118.175966,Alive on Intake,FALSE,1,"33.7941359, -118.175966"
A610878,,OTHER,GRAY,,Unknown,2018-06-11,2018-07-11,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2018-07-11,"2000 BLK ORANGE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,OTHER RESC,33.7941359,-118.175966,Alive on Intake,FALSE,1,"33.7941359, -118.175966"
A617920,*KRIS KRINGLE,CAT,BLACK,WHITE,Male,2018-10-06,2018-11-24,UNDER AGE/WEIGHT,STRAY,OTC,,2018-12-29,"2000 BLK ORANGE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7941359,-118.175966,Alive on Intake,FALSE,1,"33.7941359, -118.175966"
A618896,,BIRD,BROWN,WHITE,Unknown,,2018-12-16,INJURED  MILD,WILDLIFE,FIELD,,2018-12-16,"2000 BLK OREGON AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,LBAH,33.7935168,-118.2017459,Alive on Intake,FALSE,1,"33.7935168, -118.2017459"
A636176,,CAT,ORG TABBY,WHITE,Male,2019-10-13,2019-11-13,UNDER AGE/WEIGHT,STRAY,OTC,,2019-11-15,"2000 BLK OREGON AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,SBACC,33.7935168,-118.2017459,Alive on Intake,FALSE,1,"33.7935168, -118.2017459"
A690124,*LIGHTNING,CAT,TORTIE,,Spayed,2020-12-04,2022-12-04,INJURED  MODERATE,STRAY,OTC,,2023-01-12,"2000 BLK OREGON AVE, LONG BEACH, CA 90806",LONG BEACH,"TRAP, NEUTER, RELEASE",,33.7935168,-118.2017459,Alive on Intake,FALSE,1,"33.7935168, -118.2017459"
A606241,*GLASSES,CAT,BLACK,WHITE,Spayed,2015-04-14,2018-04-14,NORMAL,STRAY,OTC,,2018-04-24,"2000 BLK OSTROM AVE, LONG BEACH, CA 90815",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.7926278,-118.101503,Alive on Intake,FALSE,1,"33.7926278, -118.101503"
A670887,*CHRYSANTHAMUM,DOG,RED,WHITE,Female,2019-02-21,2022-02-21,NORMAL,STRAY,FIELD,,2022-03-01,"2000 BLK PACIFIC AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7936425,-118.1932988,Alive on Intake,FALSE,1,"33.7936425, -118.1932988"
A636639,A636639 *PRANCER,CAT,BLACK,,Neutered,2018-11-23,2019-11-23,NORMAL,STRAY,OTC,,2019-11-30,"2000 BLK PASADENA AVE, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.79368720000001,-118.1870385,Alive on Intake,FALSE,1,"33.79368720000001, -118.1870385"
A632512,COWCOW,CAT,BLACK,WHITE,Female,2012-08-24,2019-08-24,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2019-11-21,"2000 BLK PINE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,LITTLELION,33.7936559,-118.1921484,Alive on Intake,FALSE,1,"33.7936559, -118.1921484"
A670741,*LAKE,CAT,GRAY,,Neutered,2014-02-18,2022-02-16,NORMAL,STRAY,OTC,,2022-02-26,"2000 BLK RAYMOND AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,COMMUNITY CAT,,33.7934819,-118.164382,Alive on Intake,FALSE,1,"33.7934819, -118.164382"
A671539,STRAY CAT,CAT,UNKNOWN,,Female,,2022-03-11,NORMAL,STRAY,OTC,,2022-03-19,"2000 BLK REDONDO AVE, LONG BEACH, CA 90815",LONG BEACH,RESCUE,CATPAWS,33.793946,-118.1516409,Alive on Intake,FALSE,1,"33.793946, -118.1516409"
A660234,,CAT,BROWN,,Female,2021-02-10,2021-07-10,INJURED  MODERATE,STRAY,OTC,,2021-07-10,"2000 BLK RIVER AVE, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,INJ SEVERE,33.7919449,-118.2216409,Alive on Intake,TRUE,0,"33.7919449, -118.2216409"
A673067,SERGEANT,DOG,BROWN,BLACK,Neutered,2015-04-13,2022-04-14,BEHAVIOR  MODERATE,OWNER SURRENDER,FIELD,,2022-10-04,"2000 BLK RIVER AVE, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,BEH SEVERE,33.7919449,-118.2216409,Alive on Intake,TRUE,0,"33.7919449, -118.2216409"
A671786,*SASSY,CAT,GRAY TABBY,WHITE,Spayed,2020-03-16,2022-03-16,FRACTIOUS,WELFARE SEIZED,OWNER DIED,,2022-10-06,"2000 BLK RIVER AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,KITTYBUNGA,33.7919449,-118.2216409,Alive on Intake,FALSE,1,"33.7919449, -118.2216409"
A619153,,DOG,BR BRINDLE,WHITE,Male,2015-12-22,2018-12-22,NORMAL,STRAY,OTC,,2018-12-28,"2000 BLK ROYCROFT AVE, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,SPCALA,33.7999031,-118.1382334,Alive on Intake,FALSE,1,"33.7999031, -118.1382334"
A669674,*URIAH,RABBIT,BROWN,GRAY,Spayed,2020-01-24,2022-01-23,NORMAL,OWNER SURRENDER,FIELD,,2022-02-08,"2000 BLK SAN ANSELINE AVE, LONG BEACH, CA 90815",LONG BEACH,RESCUE,BLACKSMITH,33.7918413,-118.1222557,Alive on Intake,FALSE,1,"33.7918413, -118.1222557"
A642890,TATANKA,CAT,GRAY TABBY,GRAY,Neutered,2014-05-24,2020-05-24,NORMAL,OWNER SURRENDER,OTC,ABANDON,2021-02-25,"2000 BLK SAN ANSELINE AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,PFE/PAWSHP,33.7918413,-118.1222557,Alive on Intake,FALSE,1,"33.7918413, -118.1222557"
A662155,,WILD,BLACK,BROWN,Unknown,2020-08-20,2021-08-20,ILL SEVERE,WILDLIFE,FIELD,,2021-08-20,"2000 BLK SAN FRANCISCO AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7936287,-118.2033032,Alive on Intake,TRUE,0,"33.7936287, -118.2033032"
A668397,BEAR,DOG,BLACK,BROWN,Male,2019-12-23,2024-01-16,NORMAL,STRAY,FIELD,,2024-01-16,"2000 BLK SAN GABRIEL AVE, LONG BEACH, CA",LONG BEACH,RETURN TO OWNER,MICROCHIP,33.7923838,-118.2236742,Alive on Intake,FALSE,1,"33.7923838, -118.2236742"
A593370,,OTHER,BROWN,BLACK,Unknown,2017-05-12,2017-07-12,NORMAL,STRAY,OTC,,2017-07-21,"2000 BLK SAN GABRIEL AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,OTHER RESC,33.7923838,-118.2236742,Alive on Intake,FALSE,1,"33.7923838, -118.2236742"
A593380,,OTHER,BROWN,BLACK,Unknown,2017-05-12,2017-07-12,NORMAL,STRAY,OTC,,2017-07-21,"2000 BLK SAN GABRIEL AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,OTHER RESC,33.7923838,-118.2236742,Alive on Intake,FALSE,1,"33.7923838, -118.2236742"
A593232,TRULEN,DOG,WHITE,CREAM,Neutered,2016-10-09,2017-07-09,NORMAL,CONFISCATE,BITE,,2017-08-10,"2000 BLK SAN GABRIEL AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,OTHER RESC,33.7923838,-118.2236742,Alive on Intake,FALSE,1,"33.7923838, -118.2236742"
A593366,,OTHER,BROWN,BLACK,Unknown,2016-07-12,2017-07-12,NORMAL,STRAY,OTC,,2017-07-21,"2000 BLK SAN GABRIEL AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,OTHER RESC,33.7923838,-118.2236742,Alive on Intake,FALSE,1,"33.7923838, -118.2236742"
A614291,EMMY,CAT,TORTIE,,Spayed,2018-08-15,2018-09-08,UNDER AGE/WEIGHT,STRAY,OTC,,2018-11-06,"2000 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,PFE/PAWSHP,33.7936627,-118.215178,Alive on Intake,FALSE,1,"33.7936627, -118.215178"
A624480,GERIKO,DOG,WHITE,GRAY,Neutered,2017-04-10,2019-05-21,NORMAL,STRAY,FIELD,,2019-05-21,"2000 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,RETURN TO OWNER,MICROCHIP,33.7936627,-118.215178,Alive on Intake,FALSE,1,"33.7936627, -118.215178"
A673680,,BIRD,BROWN,,Unknown,,2022-04-28,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2022-04-28,"2000 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,RETURN TO WILD HABITAT,,33.7936627,-118.215178,Alive on Intake,FALSE,1,"33.7936627, -118.215178"
A645998,*BUTTERCUP,DOG,GOLD,,Male,2014-07-21,2020-07-21,NORMAL,STRAY,FIELD,,2020-07-28,"2000 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LIVELOVE,33.7936627,-118.215178,Alive on Intake,FALSE,1,"33.7936627, -118.215178"
A704901,*MIKOLOW,DOG,TRICOLOR,,Neutered,2015-08-16,2023-08-16,NORMAL,OWNER SURRENDER,OTC,,2023-08-26,2000 BLK STANLEY AVE SIGNAL HILL CA 90755,SIGNAL HILL,ADOPTION,WEB,33.7936022,-118.1620214,Alive on Intake,FALSE,1,"33.7936022, -118.1620214"
A635521,*ELF,DOG,BLACK,WHITE,Neutered,2017-10-31,2019-12-20,NORMAL,RETURN,ADOPTION,OTHER PET,2019-12-28,"2000 BLK VOLK AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,WALKIN,33.7921765,-118.0953476,Alive on Intake,FALSE,1,"33.7921765, -118.0953476"
A671798,*YERTLE RUSSIAN,REPTILE,GREEN,BROWN,Female,,2022-03-17,NORMAL,STRAY,FIELD,,2022-03-30,"2000 BLK VOLK AVE, LONG BEACH, CA 90815",LONG BEACH,RESCUE,SC REPTILE,33.7921765,-118.0953476,Alive on Intake,FALSE,1,"33.7921765, -118.0953476"
A686895,,CAT,WHITE,BLACK,Unknown,,2022-10-14,INJURED  MODERATE,STRAY,OTC,,2022-10-15,"2000 BLK W 17TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7879111,-118.2189401,Alive on Intake,TRUE,0,"33.7879111, -118.2189401"
A658963,BOGEN,CAT,ORG TABBY,,Male,2021-05-17,2021-06-17,ILL SEVERE,STRAY,FIELD,,2021-06-22,"2000 BLK W 23RD ST, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLEPAWS,33.7989353,-118.2187202,Alive on Intake,FALSE,1,"33.7989353, -118.2187202"
A673715,VIDA,CAT,BLACK,,Spayed,2022-04-23,2022-04-29,NORMAL,STRAY,OTC,,2022-06-18,"2000 BLK W 29TH ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WEB,33.8097867,-118.2187357,Alive on Intake,FALSE,1,"33.8097867, -118.2187357"
A673714,*CRUZ,CAT,BLACK,,Neutered,2022-04-23,2022-04-29,NORMAL,STRAY,OTC,,2022-06-12,"2000 BLK W 29TH ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,,33.8097867,-118.2187357,Alive on Intake,FALSE,1,"33.8097867, -118.2187357"
A615309,*MIKA,DOG,BLACK,WHITE,Spayed,2013-09-28,2018-09-28,NORMAL,STRAY,FIELD,,2018-10-18,"2000 BLK W 32ND ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WALKIN,33.8154996,-118.2186442,Alive on Intake,FALSE,1,"33.8154996, -118.2186442"
A632187,LITTLE MOMMA,DOG,BR BRINDLE,WHITE,Female,2017-08-18,2019-08-18,NORMAL,OWNER SURRENDER,FIELD,ABANDON,2019-08-21,"2000 BLK W 32ND ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.8154996,-118.2186442,Alive on Intake,FALSE,1,"33.8154996, -118.2186442"
A614040,*LINUS,CAT,LYNX PT,,Male,2018-05-02,2018-09-02,NORMAL,STRAY,OTC,,2018-09-13,"2000 BLK W CAMERON ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.8233626,-118.2190055,Alive on Intake,FALSE,1,"33.8233626, -118.2190055"
A544771,SASHA,CAT,GRAY,,Spayed,2014-07-29,2017-10-08,NORMAL,STRAY,OTC,,2017-10-14,"2000 BLK W CANTON ST, LONG BEACH, CA 90810",LONG BEACH,RETURN TO OWNER,WALKIN,33.8105747,-118.2189154,Alive on Intake,FALSE,1,"33.8105747, -118.2189154"
A595592,,CAT,BLACK,,Female,2015-08-19,2017-08-19,NORMAL,STRAY,OTC,,2017-08-26,"2000 BLK W CANTON ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.8105747,-118.2189154,Alive on Intake,FALSE,1,"33.8105747, -118.2189154"
A595446,ELIZA,CAT,WHITE,BRN TABBY,Spayed,2006-08-19,2017-08-30,ILL MILD,STRAY,FIELD,,2017-09-23,"2000 BLK W CANTON ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,SPCALA,33.8105747,-118.2189154,Alive on Intake,FALSE,1,"33.8105747, -118.2189154"
A595593,,CAT,BLACK,WHITE,Male,2017-06-19,2017-08-19,NORMAL,STRAY,OTC,,2017-08-26,"2000 BLK W CANTON ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.8105747,-118.2189154,Alive on Intake,FALSE,1,"33.8105747, -118.2189154"
A655068,,CAT,BRN TABBY,WHITE,Female,2020-09-16,2021-03-16,INJURED  MODERATE,STRAY,OTC,,2021-03-16,"2000 BLK W GAYLORD ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,AT VET,33.7861899,-118.2189924,Alive on Intake,TRUE,0,"33.7861899, -118.2189924"
A637066,,DOG,BLACK,GRAY,Female,2018-12-04,2019-12-04,NORMAL,STRAY,OTC,,2019-12-08,"2000 BLK W LINCOLN ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.8227324,-118.2192475,Alive on Intake,FALSE,1,"33.8227324, -118.2192475"
A587432,,CAT,TORTIE,,Female,2015-03-23,2017-03-23,NORMAL,STRAY,FIELD,,2017-03-30,"2000 BLK W SPRING ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.811509,-118.2187782,Alive on Intake,FALSE,1,"33.811509, -118.2187782"
A587435,,CAT,BRN TABBY,WHITE,Male,2017-02-18,2017-03-23,NORMAL,STRAY,FIELD,,2017-03-23,"2000 BLK W SPRING ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.811509,-118.2187782,Alive on Intake,FALSE,1,"33.811509, -118.2187782"
A596199,*MOONLIGHT,CAT,GRAY,WHITE,Spayed,2015-08-30,2017-08-30,FERAL,STRAY,FIELD,,2017-10-11,"2000 BLK W SPRING ST, LONG BEACH, CA 90810",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.811509,-118.2187782,Alive on Intake,FALSE,1,"33.811509, -118.2187782"
A587434,,CAT,BLACK,WHITE,Female,2017-02-18,2017-03-23,NORMAL,STRAY,FIELD,,2017-03-23,"2000 BLK W SPRING ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.811509,-118.2187782,Alive on Intake,FALSE,1,"33.811509, -118.2187782"
A669043,*GRADY,CAT,GRAY TABBY,,Neutered,2020-01-12,2022-01-07,INJURED  MODERATE,STRAY,FIELD,,2022-01-29,"2000 BLK W WILLIAMS ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WEB,33.7932669,-118.2204244,Alive on Intake,FALSE,1,"33.7932669, -118.2204244"
A665013,*SONIA,CAT,GRAY,GRAY TABBY,Female,2019-10-07,2021-10-07,NORMAL,STRAY,OTC,,2021-12-09,"2000 BLK WALNUT AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7939966,-118.1719841,Alive on Intake,FALSE,1,"33.7939966, -118.1719841"
A665018,*SHINOBU,CAT,BLACK,WHITE,Male,2021-09-07,2021-10-07,NORMAL,STRAY,OTC,,2021-10-22,"2000 BLK WALNUT AVE, LONG BEACH, CA 90806",LONG BEACH,DIED,IN KENNEL,33.7939966,-118.1719841,Alive on Intake,TRUE,0,"33.7939966, -118.1719841"
A665019,*SIGFRIED,CAT,GRAY TABBY,WHITE,Male,2021-09-07,2021-10-07,NORMAL,STRAY,OTC,,2021-10-24,"2000 BLK WALNUT AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,33.7939966,-118.1719841,Alive on Intake,TRUE,0,"33.7939966, -118.1719841"
A658005,PINKY,DOG,BLACK,,Female,2009-05-29,2021-05-29,NORMAL,OWNER SURRENDER,OTC,,2021-07-16,"2000 BLK WALNUT AVE, SIGNAL HILL, CA 90755",LONG BEACH,RESCUE,SPCALA,33.7939966,-118.1719841,Alive on Intake,FALSE,1,"33.7939966, -118.1719841"
A606691,BLUE,DOG,BROWN,WHITE,Female,2008-10-25,2018-04-25,NORMAL,OWNER SURRENDER,OTC,,2018-04-30,"2000 BLK WEBSTER AVE, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.7916305,-118.2211111,Alive on Intake,FALSE,1,"33.7916305, -118.2211111"
A714354,DIAMOND,DOG,WHITE,CREAM,Spayed,2021-02-02,2024-02-04,INJURED  MILD,OWNER SURRENDER,OTC,OWNER PROB,2024-03-10,"2000 BLOCK LIME AVE, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.793499,-118.18394,Alive on Intake,FALSE,1,"33.793499, -118.18394"
A707851,*TULIP,CAT,BLACK,,Spayed,2023-04-29,2023-09-29,ILL MILD,STRAY,OTC,,2023-12-13,"2000 BLOCK OLIVE AVE, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.7935031,-118.1828539,Alive on Intake,FALSE,1,"33.7935031, -118.1828539"
A585277,,CAT,BLACK,,Female,2014-02-01,2017-02-01,NORMAL,STRAY,OTC,,2017-02-08,"2000 CEDAR AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.793476,-118.1948138,Alive on Intake,FALSE,1,"33.793476, -118.1948138"
A626254,*POTATOE,CAT,BLACK,,Spayed,2018-05-11,2019-05-11,ILL MILD,STRAY,OTC,,2019-06-11,"2000 CHESTNUT AVE, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.7934866,-118.1959194,Alive on Intake,FALSE,1,"33.7934866, -118.1959194"
